Unnamed: 0,dim1,dim2,dim3,phase,library
SRR11286542,-0.83778685,0.54536545,0.026262369,G1-G0 transition,U2OS
SRR11286543,0.8895475,0.2232746,0.39856455,S,U2OS
SRR11286544,0.023861352,-0.54725516,0.8366256,G2M,U2OS
SRR11286545,-0.120803565,-0.9696712,0.2124719,G1,U2OS
SRR11286546,0.9713381,0.20364761,0.12259617,S,U2OS
SRR11286547,0.12771444,-0.9912249,-0.034091286,G1,U2OS
SRR11286549,0.9538792,0.29937318,-0.02214019,S,U2OS
SRR11286550,-0.25368774,-0.93990797,-0.2285073,G1,U2OS
SRR11286551,-0.038720455,-0.8173131,0.5748913,G2M,U2OS
SRR11286552,-0.12692988,-0.46892074,0.87407213,G2M,U2OS
SRR11286553,-0.6513778,0.6923911,-0.31032476,G1-G0 transition,U2OS
SRR11286554,-0.77295595,0.5349315,0.34115613,G1-G0 transition,U2OS
SRR11286555,0.06956949,-0.58694106,0.8066352,G2M,U2OS
SRR11286556,-0.032113336,-0.5440341,0.83844835,G2M,U2OS
SRR11286558,0.85359436,0.51916975,-0.042886905,S,U2OS
SRR11286559,0.87771606,0.16662444,0.449278,S,U2OS
SRR11286560,0.9835297,0.15554254,-0.09206383,S,U2OS
SRR11286561,0.30063415,-0.8111077,-0.5017203,G1,U2OS
SRR11286562,0.08022882,-0.48535305,0.87062955,G2M,U2OS
SRR11286563,0.99284637,0.055708297,0.105605714,S,U2OS
SRR11286564,0.81269896,0.5763191,0.085887566,S,U2OS
SRR11286565,-0.092495576,-0.8783889,-0.4689109,G1,U2OS
SRR11286566,0.2614305,0.76259863,-0.59169024,G1,U2OS
SRR11286568,0.056965444,0.20215073,-0.9776962,G1,U2OS
SRR11286569,0.09712444,-0.40892768,0.90738356,G2M,U2OS
SRR11286570,0.44118014,0.89741796,0.0010020481,G1,U2OS
SRR11286571,-0.10317168,-0.7410591,0.66346574,G2M,U2OS
SRR11286572,0.798838,0.2284982,0.5564589,G2M,U2OS
SRR11286573,-0.33476612,-0.28880885,-0.896951,G1,U2OS
SRR11286574,0.514705,-0.016638905,0.8572058,G2M,U2OS
SRR11286575,0.3770119,-0.92291176,-0.07807645,G1,U2OS
SRR11286576,0.6713243,0.07718085,0.7371341,G2M,U2OS
SRR11286577,0.13359095,-0.695583,0.70591635,G2M,U2OS
SRR11286578,-0.07134786,-0.34937015,0.9342645,G2M,U2OS
SRR11286579,-0.9179499,0.2863051,-0.27458584,G1-G0 transition,U2OS
