cell_id,dim1,dim2,dim3,library,phase,fucci_time_hrs
SRR11286568,-0.23682852,0.96851695,0.0767272,U2OS,G1,5.417229
SRR11286569,0.67544657,-0.7220999,0.1494777,U2OS,G2M,23.423793
SRR11286570,0.42423892,0.3362299,-0.8408155999999999,U2OS,G1,6.866910000000002
SRR11286571,0.23105095,-0.72118133,0.6530796,U2OS,G2M,20.626163000000002
SRR11286572,0.9117757,-0.23123809999999997,-0.33940244,U2OS,G2M,19.049317000000002
SRR11286573,-0.6616451999999999,0.5560326999999999,0.5030439,U2OS,G1,7.426436
SRR11286574,0.8539763000000001,-0.5173656,-0.055290923,U2OS,G2M,23.042298000000002
SRR11286575,0.42589560000000004,0.07152747,0.9019405999999999,U2OS,G1,3.026527
SRR11286576,0.8724975,-0.44944229999999996,-0.19170219,U2OS,G2M,23.856154
SRR11286577,0.39391237,-0.63646007,0.66313773,U2OS,G2M,20.829627
SRR11286578,0.5153930999999999,-0.85554236,0.04916577,U2OS,G2M,20.931359
SRR11286579,-0.93728226,0.06182722400000001,-0.34304407,U2OS,G1-G0 transition,4.7051050000000005
SRR11286580,0.3252531,0.029766405,0.94515836,U2OS,G1,0.8392890000000001
SRR11286581,0.26107620000000004,-0.45845774,0.8495031,U2OS,G1,0.661258
SRR11286582,0.8470453000000001,-0.50848883,-0.15476944,U2OS,S,16.149955
SRR11286583,0.6102626999999999,-0.6625920999999999,-0.4342247,U2OS,G2M,22.38104
SRR11286584,-0.69764835,0.60282475,-0.38715538,U2OS,G1-G0 transition,7.579034
SRR11286585,0.9470065999999999,-0.22582252,-0.22843544,U2OS,G2M,25.17867
SRR11286586,0.28839383,-0.7215331,0.6294592,U2OS,G2M,18.108296
SRR11286587,0.85488635,-0.28907117,-0.43082175,U2OS,G2M,19.303647
SRR11286590,-0.12624712,0.12473783,0.9841251,U2OS,G1,1.856609
SRR11286593,0.6266943,-0.74077874,0.24187008,U2OS,G2M,23.372927
SRR11286594,0.7461784,0.6187089,0.24579903,U2OS,S,8.926983
SRR11286595,0.9612499,0.14360687,-0.23532034,U2OS,S,15.00547
SRR11286596,0.6994589,0.69415474,-0.17001875,U2OS,S,10.452963
SRR11286597,0.9962268,-0.063981295,-0.05863904,U2OS,G2M,22.660803
SRR11286599,-0.25753072,0.648782,0.7160723000000001,U2OS,G1,5.0357340000000015
SRR11286600,0.52422017,-0.8217173000000001,-0.22354841,U2OS,G2M,24.771742
SRR11286601,0.37087226,0.35547426,0.8579578999999999,U2OS,G1,2.721331
SRR11286602,0.8808359,0.2836073,-0.3790712,U2OS,S,10.783592
SRR11286603,0.86095273,-0.39450353,-0.3211341,U2OS,S,15.081769
SRR11286604,0.12797657,0.0048762914,0.99176526,U2OS,G1,2.03464
SRR11286605,0.9807271999999999,0.15443921,-0.11967841,U2OS,S,14.039016000000002
SRR11286606,0.94562066,-0.07701671,-0.31602213,U2OS,S,13.072562
SRR11286607,0.09951171,-0.07624513,0.99211097,U2OS,G1,1.195351
SRR11286608,0.83692646,-0.52303535,-0.16120794,U2OS,S,13.148860999999998
SRR11286609,-0.010368737,0.32508355,0.9456285,U2OS,G1,3.662352
SRR11286610,0.25482976,-0.9387766,0.2318627,U2OS,G2M,22.355607
SRR11286611,0.9146303,0.38286793,-0.12985936,U2OS,S,12.869098
SRR11286613,0.43113595,-0.8738973,0.22455586,U2OS,G2M,23.169463
SRR11286614,0.96080375,0.15600458,0.22916955,U2OS,G2M,19.761441
SRR11286615,0.26117888,-0.8109329000000001,0.5236157,U2OS,G2M,22.8897
SRR11286616,0.6925134000000001,-0.63129115,0.34913692,U2OS,G2M,24.263082
SRR11286617,0.19026081,0.15962897,0.9686689,U2OS,G1,1.068186
SRR11286618,0.97011006,0.22838323,-0.08202182,U2OS,S,10.732726
