,Feature,Class,AbsoluteSHAPValue
256,AP3B2,G1,0.0007582485447559854
257,AP3B2,G1-G0 transition,0.0005877604383339648
258,AP3B2,G2M,0.00023650272077721334
259,AP3B2,S,0.000359889678028015
260,APCDD1,G0,0.0002638596199183341
261,APCDD1,G1,0.000623437645224316
262,APCDD1,G1-G0 transition,0.0005873151034119446
263,APCDD1,G2M,0.0002175913433816077
264,APCDD1,S,0.00028737526689158336
265,APOA1,G0,0.0003078586459195376
266,APOA1,G1,0.0005386986641678537
267,APOA1,G1-G0 transition,0.0006110214805381553
268,APOA1,G2M,0.00018824991067379097
269,APOA1,S,0.00025321326635284615
270,APOE,G0,0.0008447110644278532
271,APOE,G1,0.000826805622237611
272,APOE,G1-G0 transition,0.00120145021260105
273,APOE,G2M,0.0002873244288053662
274,APOE,S,0.00024226532285830628
275,AQP1,G0,0.0003801955487710233
276,AQP1,G1,0.0005965309802099743
277,AQP1,G1-G0 transition,0.000628486310114548
278,AQP1,G2M,0.0002494096669456469
279,AQP1,S,0.0002858473537516025
280,AQP3,G0,0.0001840935999312895
281,AQP3,G1,0.0005315756455172816
282,AQP3,G1-G0 transition,0.0007041942620484437
283,AQP3,G2M,0.0002529926032802877
284,AQP3,S,0.0002978725262284974
285,ARHGAP20,G0,0.00020301323245896095
286,ARHGAP20,G1,0.0005883619565143943
287,ARHGAP20,G1-G0 transition,0.0005778880182692431
288,ARHGAP20,G2M,0.00017670690656040948
289,ARHGAP20,S,0.00034532233087068904
290,ARHGAP24,G0,0.0005854942505592269
291,ARHGAP24,G1,0.0007054266804775442
292,ARHGAP24,G1-G0 transition,0.0008421225487757832
293,ARHGAP24,G2M,0.00027714873310487803
294,ARHGAP24,S,0.00033802365648971937
295,ARHGAP28,G0,0.00032955770427485443
296,ARHGAP28,G1,0.0005562638046547512
297,ARHGAP28,G1-G0 transition,0.0005042283437068871
298,ARHGAP28,G2M,0.000267273528209892
299,ARHGAP28,S,0.0003458951540301064
300,ARHGAP6,G0,0.00044198801152739046
301,ARHGAP6,G1,0.0007445914020147782
302,ARHGAP6,G1-G0 transition,0.0005646869808246919
303,ARHGAP6,G2M,0.00027173254505178176
304,ARHGAP6,S,0.0004595555605391682
305,ARHGAP8,G0,0.00041265103055778145
306,ARHGAP8,G1,0.0005428214018215478
307,ARHGAP8,G1-G0 transition,0.0006168307907315865
308,ARHGAP8,G2M,0.0002019860800351545
309,ARHGAP8,S,0.00033401710502599553
