cell_id,dim1,dim2,dim3,library,phase,fucci_time_hrs
cell_2635272,-0.5460544768491725,0.5917873423332857,-0.5929689917086278,Fibroblast,G1-G0 transition,
cell_2635661,0.3181622393811565,0.8012916015592055,0.5066601763947663,Fibroblast,S,
cell_2636185,0.01763596148955604,-0.24077088138500405,-0.9704217198471385,Fibroblast,G0,
cell_2637307,-0.8192361472829075,0.2778173974838172,0.5016667665623276,Fibroblast,G1,
cell_2637612,-0.23403186471934015,-0.21264182780211946,-0.9486899210625501,Fibroblast,G0,
cell_2641724,0.5356262655518589,-0.6286399561076648,0.563840645173508,Fibroblast,S,
cell_2643150,-0.15984807367433826,-0.03622597570443971,-0.9864766345009477,Fibroblast,G0,
cell_2643607,-0.7629511707217906,-0.13112460346691499,0.6330180451835721,Fibroblast,G1,
cell_2644238,-0.22236333051022714,0.9086543222278908,-0.35341455628619134,Fibroblast,G0,
cell_2644785,0.5777945022623803,-0.6663056067352413,0.47137082965166077,Fibroblast,S,
cell_2646806,0.5832546032485337,-0.32946084211613075,0.7424751923944359,Fibroblast,S,
cell_2647369,-0.07970101544806557,0.5823080642499942,-0.8090519384751955,Fibroblast,G0,
cell_2647723,0.7407611461155752,0.5313061466643476,0.41107982755621836,Fibroblast,S,
cell_2649079,-0.37150911906022316,0.7606275302794056,-0.5323783881970184,Fibroblast,G0,
cell_2649759,0.13234612224716957,-0.6467804908120399,0.75110539870276,Fibroblast,G2M,
cell_2650336,0.7452513433087968,0.21927632295368776,0.6296969170633672,Fibroblast,S,
cell_2651259,0.4289952124333638,-0.4355567234772176,-0.791361754278779,Fibroblast,G0,
cell_2652271,-0.29969397507740664,0.7669457545037657,0.5674308413801451,Fibroblast,G1,
cell_2654705,-0.41727239611098627,0.46603164283881715,0.780191172762385,Fibroblast,S,
cell_2656468,-0.4806643338230881,-0.1573808087633699,-0.86266627702335,Fibroblast,G0,
cell_2656491,-0.3951329043545029,0.2704210958997258,-0.8779192966488703,Fibroblast,G0,
cell_2659264,-0.9425383675285157,0.33408263509238345,0.0032024607866915633,Fibroblast,G0,
cell_2659479,0.5000706003447776,-0.18496614624549623,-0.8460004975989293,Fibroblast,G0,
cell_2662344,-0.12262474271900584,-0.250211671262661,-0.9603942925747606,Fibroblast,G0,
cell_2663682,-0.8186013858866,0.03848897715559338,0.5730708928618813,Fibroblast,G1,
cell_2663826,0.7278348136280182,-0.31076941657584534,0.6112928536935833,Fibroblast,S,
cell_2664323,-0.04668876171313533,0.8914013992642756,0.4508033087874494,Fibroblast,G1,
cell_2664657,0.044635088200647155,-0.34326815229237295,-0.938176202183892,Fibroblast,G0,
cell_2666699,-0.8978617416051939,0.3303353524805868,-0.2910719080285791,Fibroblast,G1-G0 transition,
cell_2670212,-0.28300037453276417,0.5280670886032688,-0.8006595837527677,Fibroblast,G0,
cell_2670354,0.38257826738635203,-0.020231329295448658,-0.9237015400762021,Fibroblast,G0,
cell_2670410,0.6755878440866478,0.7061558814799629,-0.2119551819648302,Fibroblast,G1-G0 transition,
cell_2670924,0.5085039743701252,-0.3033927120666483,-0.805839001853826,Fibroblast,G0,
cell_2671560,0.9921535051290673,0.10043733121516107,0.07445601837408566,Fibroblast,G1,
cell_2672477,-0.6778357206659076,0.7345251940982891,-0.031802594950537943,Fibroblast,G1-G0 transition,
cell_2672674,-0.09635592489484893,-0.48257087044517527,-0.8705405903445724,Fibroblast,G0,
cell_2673266,0.4760076304339085,-0.03430856932490406,-0.8787715814545933,Fibroblast,G0,
cell_2674308,-0.799644905293542,0.050275854817577126,0.5983648795412729,Fibroblast,G1,
cell_2674320,-0.0883128061745031,-0.9060689643812246,0.41381143038667145,Fibroblast,G2M,
cell_2675504,0.18048720143942015,-0.23782049273805433,-0.9543928510643387,Fibroblast,G0,
cell_2680695,-0.3296693053996251,0.41555448458944094,-0.8477219818845833,Fibroblast,G0,
